",""oversampling_altorithm"",""classifier"",""kFold"",""undersamplingFactor"",""kSMOTE"",""nRatioSMOTE"",""AUCAverage"""
"57,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.943332050480283"""
"58,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.927779467474526"""
"59,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.930754974965886"""
"60,""asn"",""logistic_regression"",""4"",""0.85"",""25"",""1"",""0.927482889462782"""
"61,""smote"",""logistic_regression"",""4"",""0.85"",""60"",""1"",""0.942090272158453"""
"62,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.932964783907829"""
"63,""asn"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.932896248879995"""
"64,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.939501687936991"""
"65,""smote"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.941778603393222"""
"66,""smote"",""xgboost"",""4"",""0.9"",""8"",""1"",""0.930867564313997"""
"67,""asn"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.934157899506435"""
"68,""asn"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.923326500296307"""
"69,""smote"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.92975870083878"""
"70,""smote"",""xgboost"",""4"",""0.9"",""4"",""1"",""0.936021744465108"""
"71,""asn"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.925809267396468"""
"72,""asn"",""xgboost"",""4"",""0.99"",""10"",""1"",""0.933669744656998"""
"73,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.940248403737439"""
"74,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.938879647407219"""
"75,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.936100474537674"""
"76,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.93978915173804"""
"77,""asn"",""logistic_regression"",""4"",""0.9"",""4"",""1"",""0.927814869967856"""
"78,""smote"",""xgboost"",""4"",""0.8"",""70"",""1"",""0.931821988643468"""
"79,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.92565413878107"""
"80,""smote"",""logistic_regression"",""4"",""0.8"",""4"",""1"",""0.942676611870607"""
"81,""asn"",""xgboost"",""4"",""0.9"",""35"",""1"",""0.920500612307"""
"82,""asn"",""logistic_regression"",""4"",""0.8"",""60"",""1"",""0.929221523903128"""
"83,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.923426350264568"""
"84,""smote"",""logistic_regression"",""4"",""0.85"",""30"",""1"",""0.94021450929605"""
"85,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.926821338879865"""
"86,""asn"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.921669709860671"""
"87,""smote"",""logistic_regression"",""4"",""0.9"",""70"",""1"",""0.942625863888502"""
"88,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.926799685230571"""
"89,""smote"",""logistic_regression"",""4"",""0.85"",""8"",""1"",""0.940821629604115"""
"90,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.929676777798546"""
"91,""smote"",""xgboost"",""4"",""0.95"",""50"",""1"",""0.936388772137251"""
"92,""smote"",""xgboost"",""4"",""0.8"",""35"",""1"",""0.930630894433955"""
"93,""asn"",""logistic_regression"",""4"",""0.9"",""12"",""1"",""0.925632627640432"""
"94,""smote"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.932673482793875"""
"95,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928472378724514"""
"96,""asn"",""xgboost"",""4"",""0.95"",""10"",""1"",""0.924024547430404"""
